core_phrase,label
away from chaos,being_away
away from demand of society,being_away
away from hustle,being_away
bask in,being_away
braced relaxation,being_away
break free,being_away
breathe in calm scent,being_away
breathe in deeply,being_away
breathe in easier,being_away
breathe in fresh air,being_away
breathe in serenity,being_away
calm relief from stress,being_away
close eyes listen to gentle hum ,being_away
crisp fresh air,being_away
deep breath fresh air,being_away
detached relaxed,being_away
dip toes in cool refresh,being_away
distraction of city fade away,being_away
dreamlike escape,being_away
drift away on ethereal,being_away
drift into peace,being_away
drift into relaxation,being_away
drift into tranquility,being_away
drift lazily,being_away
drift off to soothing sound,being_away
drown out noise,being_away
earthy scent freshly,being_away
echo,being_away
embrace freedom endless,being_away
embrace from nature,being_away
embrace of relaxation,being_away
embrace relaxation,being_away
escape daily grind,being_away
escape demand,being_away
escape from reality,being_away
escape grind,being_away
escape hustle bustle,being_away
escape noise,being_away
exhale stress inhale peace,being_away
feel alive free,being_away
feel alive renew,being_away
feel at peace,being_away
feel freedom,being_away
feel refreshed rejuvenated,being_away
feel rejuvenated,being_away
feel sense of serenity wash over,being_away
feel soft caress,being_away
feel softness,being_away
fill mind peace,being_away
find freedom,being_away
find peace,being_away
find peace in infinite,being_away
find quietude,being_away
find refuge in nature embrace,being_away
find relief,being_away
find relief from monotony of daily life,being_away
find relief from noise pollution,being_away
find respite,being_away
find serenity,being_away
find solace,being_away
find solace in silence,being_away
find solace in stillness,being_away
find stillness,being_away
find tranquility,being_away
float on dream,being_away
freedom of wide open space,being_away
gentle hum,being_away
gentle rustle,being_away
gentle sound,being_away
gentle sway,being_away
ground calm,being_away
heal mind,being_away
healed,being_away
hidden cave cranny,being_away
hidden gem,being_away
hidden nook,being_away
immerse in soothing sound,being_away
indulge in solitude,being_away
inhale scent,being_away
inhale serenity,being_away
inhale tranquility,being_away
inner calm,being_away
inner peace,being_away
instantly relaxed,being_away
into tranquility,being_away
let go of stress immerse in,being_away
listen to symphony,being_away
lost in endless expanse,being_away
lost in quiet contemplation thought drift away,being_away
lost in quiet solitude,being_away
lost in tranquil melody,being_away
lost in tranquility,being_away
lounge in,being_away
lounge under,being_away
lull into relaxation,being_away
lull mind,being_away
meditation,being_away
melody for soul,being_away
mind adrift,being_away
mind adrift on away from noise of daily life,being_away
mind at ease,being_away
mind at ease lost in,being_away
mind at rest,being_away
mind buzzing with rhythm,being_away
mind still by serenity,being_away
natural lullaby for soul,being_away
nature remedy,being_away
nature symphony drown out noise,being_away
obligation temporarily forget,being_away
peaceful,being_away
peaceful chatter,being_away
peaceful hum,being_away
peaceful relief from chaos,being_away
peaceful retreat from chaos,being_away
peaceful sound,being_away
promote relaxation,being_away
pure relaxation,being_away
quiet contemplation,being_away
quiet mind,being_away
quiet mind focus on,being_away
quiet sanctuary,being_away
quiet stillness,being_away
recharge amidst,being_away
recharge in nature embrace,being_away
recharge spirit,being_away
refresh break,being_away
refresh change of pace,being_away
refresh escape,being_away
refresh relief,being_away
refresh spirit,being_away
rejuvenated by,being_away
rejuvenated sense,being_away
rejuvenated spirit,being_away
rejuvenating,being_away
relaxation amid,being_away
relaxed body mind,being_away
relaxed mind,being_away
relaxed muscle mind,being_away
relief,being_away
relief find in,being_away
relief from life uncertainty,being_away
relief from seriousness,being_away
relief to weary muscle,being_away
relieve stress,being_away
relieve tension,being_away
respite from,being_away
restore energy,being_away
sanctuary peace,being_away
savor crisp freshness,being_away
savor relief,being_away
savor silence,being_away
savor stillness,being_away
savor tranquility,being_away
sense of peace relief,being_away
sensory experience relax,being_away
silence by vastness,being_away
silence noise,being_away
sink into peace thought dissolve,being_away
sink into relaxation,being_away
sink into relaxation lull by,being_away
sink into serenity thought drift,being_away
sink into silence,being_away
sit in silence,being_away
sit in stillness,being_away
soak in peaceful serenity,being_away
soothe by,being_away
soothe weary soul,being_away
soothing balm for soul,being_away
soothing escape,being_away
soothing melody,being_away
soothing sound of nature,being_away
sound distant,being_away
stress fade into background,being_away
sweep away worry with soothing stroke,being_away
take deep breath let go of stress,being_away
tension slip away,being_away
thought dissolve into vastness,being_away
thought fade into background,being_away
thought float away,being_away
thought scatter,being_away
thought silence,being_away
time slow down worry fade away,being_away
tranquility,being_away
transport to another realm,being_away
watch time flow away,being_away
absolutely amazed by variety,fascinating
absolutely captivated by,fascinating
absolutely captivated by stunning,fascinating
absolutely captivated by vibrant color,fascinating
absolutely enchanted by,fascinating
absolutely fascinated by,fascinating
absolutely mesmerized by graceful,fascinating
absolutely mesmerized by vibrant color,fascinating
absolutely worth admire breathtaking view,fascinating
